Nome,Plataforma,Ano de lancamento,Genero,Publicadora,Vendas NA,Vendas EU,Vendas JP,Outras vendas,Vendas globais,Pontuacao da critica,Contagem de criticas,Pontuacao dos usuarios,Contagem de usuarios,Desenvolvedora,Classificacao,Media de pontuacao
Brain Age: Train Your Brain in Minutes a Day,3,2005.0,5,Nintendo,4.74,9.2,4.16,2.04,20.15,77.0,58.0,7.9,50.0,Nintendo,0,42.45
Grand Theft Auto V,4,2013.0,8,Take-Two Interactive,9.66,5.14,0.06,1.41,16.27,97.0,58.0,8.1,3711.0,Rockstar North,1,52.55
Grand Theft Auto: Vice City,6,2002.0,8,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,95.0,62.0,8.7,730.0,Rockstar North,1,51.85
Brain Age 2: More Training in Minutes a Day,3,2005.0,4,Nintendo,3.43,5.35,5.32,1.18,15.29,77.0,37.0,7.1,19.0,Nintendo,0,42.05
Gran Turismo 3: A-Spec,6,2001.0,2,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,95.0,54.0,8.4,314.0,Polyphony Digital,0,51.7
Call of Duty: Modern Warfare 3,4,2011.0,6,Activision,9.04,4.24,0.13,1.32,14.73,88.0,81.0,3.4,8713.0,"Infinity Ward, Sledgehammer Games",1,45.7
Call of Duty: Black Ops,4,2010.0,6,Activision,9.7,3.68,0.11,1.13,14.61,87.0,89.0,6.3,1454.0,Treyarch,1,46.65
Call of Duty: Black Ops II,5,2012.0,6,Activision,4.99,5.73,0.65,2.42,13.79,83.0,21.0,5.3,922.0,Treyarch,1,44.15
Call of Duty: Black Ops II,4,2012.0,6,Activision,8.25,4.24,0.07,1.12,13.67,83.0,73.0,4.8,2256.0,Treyarch,1,43.9
Call of Duty: Modern Warfare 2,4,2009.0,6,Activision,8.52,3.59,0.08,1.28,13.47,94.0,100.0,6.3,2698.0,Infinity Ward,1,50.15
Call of Duty: Modern Warfare 3,5,2011.0,6,Activision,5.54,5.73,0.49,1.57,13.32,88.0,39.0,3.2,5234.0,"Infinity Ward, Sledgehammer Games",1,45.6
Grand Theft Auto III,6,2001.0,8,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,97.0,56.0,8.5,664.0,DMA Design,1,52.75
Super Smash Bros. Brawl,0,2008.0,9,Nintendo,6.62,2.55,2.66,1.01,12.84,93.0,81.0,8.9,1662.0,Game Arts,2,50.95
Mario Kart 7,10,2011.0,2,Nintendo,5.03,4.02,2.69,0.91,12.66,85.0,73.0,8.2,632.0,"Retro Studios, Entertainment Analysis & Development Division",0,46.6
Call of Duty: Black Ops,5,2010.0,6,Activision,5.99,4.37,0.48,1.79,12.63,88.0,58.0,6.4,1094.0,Treyarch,1,47.2
Grand Theft Auto V,9,2014.0,8,Take-Two Interactive,3.96,6.31,0.38,1.97,12.61,97.0,66.0,8.3,2899.0,Rockstar North,1,52.65
Animal Crossing: Wild World,3,2005.0,7,Nintendo,2.5,3.45,5.33,0.86,12.13,86.0,57.0,8.7,242.0,Nintendo,0,47.35
Halo 3,4,2007.0,6,Microsoft Game Studios,7.97,2.81,0.13,1.21,12.12,94.0,86.0,7.8,4100.0,"Bungie Software, Bungie",1,50.9
Gran Turismo 4,6,2004.0,2,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,89.0,74.0,8.5,272.0,Polyphony Digital,0,48.75
Super Mario Galaxy,0,2007.0,1,Nintendo,6.06,3.35,1.2,0.74,11.35,97.0,73.0,8.9,2147.0,Nintendo,0,52.95
Grand Theft Auto IV,4,2008.0,8,Take-Two Interactive,6.76,3.07,0.14,1.03,11.01,98.0,86.0,7.9,2951.0,Rockstar North,1,52.95
Gran Turismo,12,1997.0,2,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,96.0,16.0,8.7,138.0,Polyphony Digital,0,52.35
Super Mario 3D Land,10,2011.0,1,Nintendo,4.89,3.0,2.14,0.78,10.81,90.0,82.0,8.4,921.0,Nintendo,0,49.2
Gran Turismo 5,5,2010.0,2,Sony Computer Entertainment,2.96,4.82,0.81,2.11,10.7,84.0,82.0,7.5,1112.0,Polyphony Digital,0,45.75
Call of Duty: Modern Warfare 2,5,2009.0,6,Activision,4.99,3.64,0.38,1.6,10.6,94.0,67.0,6.3,2073.0,Infinity Ward,1,50.15
Grand Theft Auto IV,5,2008.0,8,Take-Two Interactive,4.76,3.69,0.44,1.61,10.5,98.0,64.0,7.5,2833.0,Rockstar North,1,52.75
Call of Duty: Ghosts,4,2013.0,6,Activision,6.73,2.56,0.04,0.91,10.25,73.0,29.0,2.6,2117.0,Infinity Ward,1,37.8
Just Dance 3,0,2011.0,5,Ubisoft,5.95,3.11,0.0,1.06,10.12,74.0,15.0,7.8,16.0,Ubisoft,3,40.9
New Super Mario Bros. 2,10,2012.0,1,Nintendo,3.66,3.14,2.47,0.63,9.9,78.0,70.0,7.2,424.0,Nintendo,0,42.6
Halo: Reach,4,2010.0,6,Microsoft Game Studios,7.04,1.95,0.08,0.79,9.86,91.0,99.0,7.9,2045.0,Bungie,1,49.45
Final Fantasy VII,12,1997.0,3,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,92.0,20.0,9.2,1282.0,SquareSoft,2,50.6
Halo 4,4,2012.0,6,Microsoft Game Studios,6.65,2.28,0.04,0.74,9.71,87.0,87.0,7.0,3260.0,343 Industries,1,47.0
Gran Turismo 2,12,1999.0,2,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,93.0,23.0,9.0,135.0,Polyphony Digital,2,51.0
Just Dance 2,0,2010.0,5,Ubisoft,5.8,2.85,0.01,0.78,9.44,74.0,24.0,7.3,24.0,Ubisoft,3,40.65
Call of Duty: Ghosts,5,2013.0,6,Activision,4.1,3.63,0.38,1.25,9.36,71.0,10.0,2.6,1047.0,Infinity Ward,1,36.8
Call of Duty 4: Modern Warfare,4,2007.0,6,Activision,5.93,2.36,0.13,0.9,9.31,94.0,70.0,8.4,1320.0,Infinity Ward,1,51.2
Animal Crossing: New Leaf,10,2012.0,7,Nintendo,2.03,2.36,4.39,0.39,9.16,88.0,70.0,8.7,626.0,Nintendo,0,48.35
Mario Party DS,3,2007.0,5,Nintendo,4.4,1.85,1.98,0.68,8.91,72.0,27.0,7.8,85.0,Hudson Soft,0,39.9
The Elder Scrolls V: Skyrim,4,2011.0,3,Bethesda Softworks,5.05,2.79,0.1,0.85,8.79,96.0,89.0,8.4,3589.0,Bethesda Game Studios,1,52.2
FIFA 16,9,2015.0,0,Electronic Arts,1.12,6.12,0.06,1.28,8.57,82.0,42.0,4.3,896.0,EA Sports,0,43.15
Halo 2,13,2004.0,6,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,95.0,91.0,8.2,1218.0,Bungie Software,1,51.6
Wii Party,0,2010.0,5,Nintendo,1.75,3.47,2.49,0.67,8.38,68.0,42.0,7.4,54.0,Nd Cube,0,37.7
Mario Party 8,0,2007.0,5,Nintendo,3.74,2.24,1.58,0.7,8.27,62.0,41.0,6.3,190.0,Hudson,0,34.15
FIFA Soccer 13,5,2012.0,8,Electronic Arts,1.06,5.01,0.13,1.97,8.16,88.0,37.0,6.6,348.0,Electronic Arts,0,47.3
Final Fantasy X,6,2001.0,3,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,92.0,53.0,8.7,1056.0,SquareSoft,2,50.35
The Sims 3,14,2009.0,7,Electronic Arts,0.99,6.42,0.0,0.6,8.01,86.0,75.0,7.6,886.0,The Sims Studio,2,46.8
Final Fantasy VIII,12,1999.0,3,SquareSoft,2.28,1.72,3.63,0.23,7.86,90.0,24.0,8.6,644.0,SquareSoft,2,49.3
Pokémon Platinum Version,3,2008.0,3,Nintendo,2.76,1.72,2.69,0.54,7.72,83.0,46.0,8.5,203.0,Game Freak,0,45.75
Grand Theft Auto: Liberty City Stories,16,2005.0,8,Take-Two Interactive,2.9,2.81,0.24,1.73,7.69,88.0,65.0,7.6,451.0,Rockstar Leeds,1,47.8
Call of Duty: Advanced Warfare,9,2014.0,6,Activision,2.81,3.48,0.14,1.23,7.66,83.0,39.0,5.7,1443.0,Sledgehammer Games,1,44.35
FIFA 17,9,2016.0,0,Electronic Arts,0.66,5.75,0.08,1.11,7.59,85.0,41.0,5.0,398.0,"EA Sports, EA Vancouver",0,45.0
Super Mario Galaxy 2,0,2010.0,1,Nintendo,3.56,2.35,0.98,0.62,7.51,97.0,87.0,9.1,1854.0,Nintendo EAD Tokyo,0,53.05
Call of Duty: World at War,4,2008.0,6,Activision,4.81,1.88,0.0,0.69,7.38,84.0,84.0,7.6,580.0,Treyarch,1,45.8
Battlefield 3,4,2011.0,6,Electronic Arts,4.46,2.11,0.06,0.69,7.32,84.0,57.0,7.4,2142.0,EA DICE,1,45.7
Need for Speed Underground,6,2003.0,2,Electronic Arts,3.27,2.83,0.08,1.02,7.2,85.0,33.0,8.6,171.0,EA Black Box,0,46.8
Just Dance,0,2009.0,5,Ubisoft,3.48,2.99,0.0,0.73,7.2,49.0,21.0,8.0,110.0,Ubisoft Paris,3,28.5
Battlefield 3,5,2011.0,6,Electronic Arts,2.85,2.89,0.35,1.08,7.17,85.0,38.0,7.5,1761.0,EA DICE,1,46.25
Fallout 4,9,2015.0,3,Bethesda Softworks,2.53,3.27,0.24,1.13,7.16,87.0,58.0,6.5,4228.0,Bethesda Game Studios,1,46.75
Tekken 3,12,1998.0,9,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,96.0,15.0,9.1,367.0,Namco,2,52.55
The Legend of Zelda: Twilight Princess,0,2006.0,8,Nintendo,3.74,2.14,0.6,0.68,7.15,95.0,73.0,9.0,1658.0,Nintendo,2,52.0
Crash Bandicoot 3: Warped,12,1998.0,1,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,91.0,12.0,8.9,432.0,Naughty Dog,0,49.95
Mario Kart 8,18,2014.0,2,Nintendo,3.15,2.15,1.28,0.51,7.09,88.0,82.0,9.1,1599.0,Nintendo,0,48.55
Super Smash Bros. Melee,19,2001.0,9,Nintendo,4.41,1.04,1.39,0.22,7.07,92.0,38.0,9.1,568.0,HAL Labs,2,50.55
Need for Speed Underground 2,6,2004.0,2,Electronic Arts,2.71,3.02,0.08,1.09,6.9,82.0,39.0,8.6,132.0,EA Canada,0,45.3
Medal of Honor: Frontline,6,2002.0,6,Electronic Arts,2.93,2.75,0.17,0.99,6.83,88.0,29.0,8.5,135.0,EA LA,2,48.25
Just Dance 4,0,2012.0,5,Ubisoft,4.05,2.16,0.0,0.55,6.76,74.0,10.0,7.3,28.0,Ubisoft,3,40.65
Gears of War 2,4,2008.0,6,Microsoft Game Studios,4.15,1.9,0.06,0.64,6.75,93.0,90.0,7.7,2739.0,Epic Games,1,50.35
Uncharted 3: Drake's Deception,5,2011.0,8,Sony Computer Entertainment,2.77,2.75,0.19,1.03,6.74,92.0,97.0,8.3,3712.0,Naughty Dog,2,50.15
Call of Duty 4: Modern Warfare,5,2007.0,6,Activision,3.11,2.26,0.28,1.03,6.68,94.0,44.0,8.4,993.0,Infinity Ward,1,51.2
Uncharted 2: Among Thieves,5,2009.0,8,Sony Computer Entertainment,3.27,2.2,0.21,0.98,6.66,96.0,105.0,8.8,5187.0,Naughty Dog,2,52.4
Big Brain Academy,3,2005.0,5,Nintendo,1.66,2.75,1.6,0.62,6.62,74.0,45.0,7.4,27.0,Nintendo,0,40.7
Red Dead Redemption,5,2010.0,8,Take-Two Interactive,2.79,2.53,0.17,0.99,6.49,95.0,73.0,8.8,2456.0,Rockstar San Diego,1,51.9
FIFA 14,5,2013.0,0,Electronic Arts,0.78,4.24,0.07,1.37,6.47,86.0,37.0,4.3,576.0,EA Canada,0,45.15
Assassin's Creed III,5,2012.0,8,Ubisoft,2.64,2.52,0.16,1.12,6.45,85.0,41.0,6.9,1307.0,Ubisoft,1,45.95
Donkey Kong Country Returns,0,2010.0,1,Nintendo,3.17,1.79,1.03,0.46,6.44,87.0,77.0,8.6,368.0,Retro Studios,0,47.8
Halo: Combat Evolved,13,2001.0,6,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,97.0,68.0,8.6,1283.0,Bungie Software,1,52.8
The Elder Scrolls V: Skyrim,5,2011.0,3,Bethesda Softworks,2.55,2.6,0.25,1.0,6.41,92.0,16.0,6.4,2527.0,Bethesda Game Studios,1,49.2
Pokémon Emerald Version,8,2004.0,3,Nintendo,2.57,1.58,2.06,0.21,6.41,76.0,28.0,9.0,222.0,Game Freak,0,42.5
Kingdom Hearts,6,2002.0,3,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,85.0,46.0,8.8,597.0,SquareSoft,0,46.9
Halo 3: ODST,4,2009.0,6,Microsoft Game Studios,4.34,1.34,0.06,0.61,6.34,83.0,94.0,7.1,1163.0,"Bungie Software, Bungie",1,45.05
Red Dead Redemption,4,2010.0,8,Take-Two Interactive,3.7,1.95,0.09,0.58,6.32,95.0,96.0,9.0,2316.0,Rockstar San Diego,1,52.0
Super Mario Sunshine,19,2002.0,1,Nintendo,4.01,1.26,0.87,0.17,6.31,92.0,61.0,8.6,439.0,Nintendo,0,50.3
World of Warcraft,14,2004.0,3,Activision,0.08,6.21,0.0,0.0,6.29,93.0,57.0,7.3,2182.0,Blizzard Entertainment,2,50.15
Driver,12,1999.0,8,GT Interactive,3.11,2.8,0.02,0.33,6.27,87.0,22.0,8.1,78.0,Reflections Interactive,2,47.55
Gears of War 3,4,2011.0,6,Microsoft Game Studios,4.05,1.59,0.07,0.5,6.21,91.0,96.0,7.8,1504.0,Epic Games,1,49.4
Kinect Sports,4,2010.0,0,Microsoft Game Studios,3.92,1.73,0.03,0.51,6.19,73.0,51.0,7.4,95.0,Rare Ltd.,3,40.2
Gears of War,4,2006.0,6,Microsoft Game Studios,3.54,1.88,0.07,0.6,6.09,94.0,88.0,8.3,2295.0,Epic Games,1,51.15
FIFA 15,9,2014.0,0,Electronic Arts,0.8,4.33,0.05,0.9,6.08,82.0,47.0,5.7,988.0,EA Sports,0,43.85
Metal Gear Solid 2: Sons of Liberty,6,2001.0,8,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,96.0,42.0,8.7,1026.0,KCEJ,1,52.35
Metal Gear Solid,12,1998.0,8,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,94.0,20.0,9.4,918.0,KCEJ,1,51.7
Metal Gear Solid 4: Guns of the Patriots,5,2008.0,8,Konami Digital Entertainment,2.63,1.71,0.83,0.82,5.99,94.0,82.0,8.7,3558.0,Kojima Productions,1,51.35
Final Fantasy XII,6,2006.0,3,Square Enix,1.88,0.0,2.33,1.74,5.95,92.0,64.0,7.6,972.0,Square Enix,2,49.8
The Last of Us,5,2013.0,8,Sony Computer Entertainment Europe,2.41,2.18,0.28,0.99,5.87,95.0,98.0,9.1,8003.0,Naughty Dog,1,52.05
LittleBigPlanet,5,2008.0,1,Sony Computer Entertainment,2.8,1.98,0.17,0.87,5.82,95.0,85.0,6.8,5311.0,"SCE/WWS, Media Molecule",0,50.9
Resident Evil 2,12,1998.0,8,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,89.0,13.0,9.2,364.0,Capcom,1,49.1
Dragon Quest IX: Sentinels of the Starry Skies,3,2009.0,3,Nintendo,0.63,0.67,4.35,0.15,5.78,87.0,65.0,8.8,197.0,Level 5,3,47.9
Tekken 2,12,1996.0,9,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,89.0,8.0,8.9,102.0,Namco,2,48.95
Destiny,9,2014.0,6,Activision,2.49,2.07,0.16,0.92,5.64,76.0,95.0,6.1,5380.0,"Bungie Software, Bungie",2,41.05
LEGO Star Wars: The Complete Saga,0,2007.0,8,LucasArts,3.57,1.55,0.0,0.51,5.64,80.0,17.0,8.9,62.0,Traveller's Tales,3,44.45
Cooking Mama,3,2006.0,7,505 Games,3.07,1.91,0.07,0.57,5.63,67.0,35.0,7.2,21.0,Taito Corporation,0,37.1
Assassin's Creed II,5,2009.0,8,Ubisoft,2.54,1.93,0.21,0.86,5.55,91.0,70.0,8.6,1202.0,Ubisoft Montreal,1,49.8
Assassin's Creed,4,2007.0,10,Ubisoft,3.28,1.64,0.07,0.56,5.54,81.0,77.0,7.7,1074.0,Ubisoft Montreal,1,44.35
Forza Motorsport 3,4,2009.0,2,Microsoft Game Studios,2.99,1.9,0.1,0.5,5.49,92.0,90.0,8.0,516.0,Turn 10,0,50.0
Super Mario Advance,8,2001.0,1,Nintendo,3.14,1.24,0.91,0.2,5.49,84.0,19.0,7.8,41.0,Nintendo,0,45.9
Monster Hunter Freedom Unite,16,2008.0,3,Capcom,0.47,0.55,4.13,0.34,5.48,81.0,48.0,8.7,124.0,Capcom,2,44.85
Batman: Arkham City,5,2011.0,8,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,0.81,5.48,96.0,42.0,8.6,2162.0,Rocksteady Studios,2,52.3
Grand Theft Auto V,17,2014.0,8,Take-Two Interactive,2.81,2.19,0.0,0.47,5.48,97.0,14.0,7.9,764.0,Rockstar North,1,52.45
Mario Kart: Super Circuit,8,2001.0,2,Nintendo,2.62,1.64,0.99,0.23,5.47,93.0,24.0,8.3,108.0,Intelligent Systems,0,50.65
Crash Bandicoot: The Wrath of Cortex,6,2001.0,1,Universal Interactive,2.07,2.29,0.24,0.82,5.42,66.0,22.0,7.1,156.0,Traveller's Tales,0,36.55
Call of Duty: World at War,5,2008.0,6,Activision,2.73,1.83,0.0,0.83,5.39,85.0,45.0,7.6,409.0,Treyarch,1,46.3
Uncharted 4: A Thief's End,9,2016.0,6,Sony Computer Entertainment,1.85,2.5,0.19,0.85,5.38,93.0,113.0,7.9,7064.0,Naughty Dog,2,50.45
Final Fantasy XIII,5,2009.0,3,Square Enix,1.74,1.21,1.87,0.51,5.33,83.0,83.0,7.3,2483.0,Square Enix,2,45.15
Final Fantasy IX,12,2000.0,3,SquareSoft,1.62,0.77,2.78,0.14,5.3,94.0,22.0,8.9,779.0,SquareSoft,2,51.45
Assassin's Creed III,4,2012.0,8,Ubisoft,3.13,1.69,0.03,0.44,5.29,84.0,61.0,6.7,1196.0,Ubisoft,1,45.35
Final Fantasy X-2,6,2003.0,3,Electronic Arts,1.92,1.08,2.11,0.17,5.29,85.0,45.0,6.6,400.0,SquareSoft,2,45.8
Call of Duty: Advanced Warfare,17,2014.0,6,Activision,3.22,1.55,0.01,0.48,5.27,81.0,53.0,5.4,898.0,Sledgehammer Games,1,43.2
Assassin's Creed II,4,2009.0,8,Ubisoft,3.11,1.55,0.08,0.51,5.26,90.0,82.0,8.8,1305.0,Ubisoft Montreal,1,49.4
New Super Mario Bros. U,18,2012.0,1,Nintendo,2.3,1.34,1.27,0.32,5.22,84.0,70.0,8.1,733.0,Nintendo,0,46.05
Dragon Quest VIII: Journey of the Cursed King,6,2004.0,3,Square Enix,0.65,0.75,3.61,0.2,5.21,89.0,63.0,8.8,245.0,Level 5,2,48.9
Professor Layton and the Curious Village,3,2007.0,4,Nintendo,1.21,2.43,1.03,0.52,5.19,85.0,72.0,8.6,147.0,Level 5,0,46.8
FIFA Soccer 13,4,2012.0,8,Electronic Arts,1.09,3.47,0.03,0.57,5.16,90.0,48.0,6.1,403.0,Electronic Arts,0,48.05
Diablo III,14,2012.0,3,Activision,2.44,2.16,0.0,0.54,5.14,88.0,86.0,4.0,9629.0,Blizzard Entertainment,1,46.0
Medal of Honor: Rising Sun,6,2003.0,6,Electronic Arts,1.98,2.23,0.13,0.8,5.13,68.0,30.0,7.6,100.0,EA LA,2,37.8
Guitar Hero II,6,2006.0,5,RedOctane,3.81,0.63,0.0,0.68,5.12,92.0,69.0,8.5,112.0,Harmonix Music Systems,2,50.25
Fable III,4,2010.0,3,Microsoft Game Studios,3.59,1.08,0.05,0.38,5.1,80.0,88.0,6.5,604.0,Lionhead Studios,1,43.25
Resident Evil 5,5,2009.0,8,Capcom,1.96,1.41,1.08,0.64,5.09,84.0,76.0,7.5,667.0,Capcom,1,45.75
The Legend of Zelda: Phantom Hourglass,3,2007.0,8,Nintendo,1.85,1.8,0.95,0.48,5.08,90.0,57.0,8.0,416.0,Nintendo,0,49.0
FIFA Soccer 11,5,2010.0,0,Electronic Arts,0.61,3.28,0.06,1.12,5.07,89.0,51.0,8.0,233.0,EA Sports,0,48.5
Resident Evil,12,1996.0,8,Virgin Interactive,2.05,1.16,1.11,0.73,5.05,91.0,8.0,9.0,266.0,Capcom,1,50.0
Grand Theft Auto: Vice City Stories,16,2006.0,8,Take-Two Interactive,1.7,1.99,0.16,1.18,5.03,86.0,50.0,8.0,150.0,Rockstar Leeds,1,47.0
Tony Hawk's Pro Skater,12,1999.0,0,Activision,3.42,1.38,0.02,0.2,5.02,92.0,18.0,9.2,69.0,Neversoft Entertainment,2,50.6
Guitar Hero III: Legends of Rock,6,2007.0,5,Activision,3.49,0.01,0.01,1.48,4.98,82.0,24.0,8.2,46.0,"Neversoft Entertainment, BudCat",2,45.1
Link's Crossbow Training,0,2007.0,6,Nintendo,3.05,1.17,0.29,0.46,4.98,68.0,34.0,7.1,47.0,Nintendo,2,37.55
Fallout 3,4,2008.0,3,Bethesda Softworks,3.4,0.99,0.09,0.45,4.93,93.0,84.0,8.5,1655.0,Bethesda Game Studios,1,50.75
Uncharted: Drake's Fortune,5,2007.0,8,Sony Computer Entertainment,2.31,1.72,0.12,0.77,4.92,88.0,66.0,8.1,2306.0,"Naughty Dog, SCE/WWS",2,48.05
Madden NFL 06,6,2005.0,0,Electronic Arts,3.98,0.26,0.01,0.66,4.91,88.0,29.0,8.0,121.0,EA Sports,0,48.0
StarCraft II: Wings of Liberty,14,2010.0,11,Activision,2.57,1.68,0.0,0.58,4.84,93.0,82.0,8.2,3052.0,Blizzard Entertainment,2,50.6
Assassin's Creed,5,2007.0,10,Ubisoft,1.91,2.0,0.09,0.82,4.82,81.0,40.0,7.3,769.0,Ubisoft Montreal,1,44.15
God of War III,5,2010.0,8,Sony Computer Entertainment,2.74,1.33,0.12,0.61,4.8,92.0,101.0,8.7,2633.0,SCE Santa Monica,1,50.35
Crash Team Racing,12,1999.0,2,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79,88.0,20.0,9.0,233.0,Naughty Dog,0,48.5
LEGO Star Wars: The Complete Saga,3,2007.0,8,LucasArts,2.83,1.48,0.0,0.45,4.76,80.0,9.0,5.4,46.0,TT Fusion,0,42.7
Driver 2,12,2000.0,8,Atari,2.36,2.1,0.02,0.25,4.73,62.0,14.0,7.7,92.0,Reflections Interactive,2,34.85
Batman: Arkham City,4,2011.0,8,Warner Bros. Interactive Entertainment,2.99,1.27,0.04,0.42,4.73,94.0,87.0,8.7,1472.0,Rocksteady Studios,2,51.35
Tony Hawk's Pro Skater 2,12,2000.0,0,Activision,3.05,1.41,0.02,0.2,4.68,98.0,19.0,7.7,299.0,Neversoft Entertainment,2,52.85
The Lord of the Rings: The Two Towers,6,2002.0,8,Electronic Arts,1.94,1.95,0.08,0.7,4.67,82.0,32.0,8.2,78.0,Stormfront Studios,2,45.1
Tomb Raider,12,1996.0,8,Eidos Interactive,2.29,1.97,0.13,0.24,4.63,91.0,13.0,8.6,147.0,Core Design Ltd.,2,49.8
Animal Crossing: City Folk,0,2008.0,7,Nintendo,1.82,1.12,1.32,0.36,4.62,73.0,50.0,7.6,119.0,Nintendo,0,40.3
Uncharted: The Nathan Drake Collection,9,2015.0,8,Sony Computer Entertainment,2.07,1.71,0.08,0.76,4.62,86.0,78.0,8.1,1264.0,Bluepoint Games,2,47.05
The Legend of Zelda: The Wind Waker,19,2002.0,8,Nintendo,2.6,0.99,0.89,0.13,4.6,96.0,80.0,8.9,968.0,Nintendo,0,52.45
Guitar Hero III: Legends of Rock,0,2007.0,5,Activision,3.04,1.11,0.0,0.43,4.6,86.0,36.0,8.4,87.0,Vicarious Visions,2,47.2
Luigi's Mansion: Dark Moon,10,2013.0,8,Nintendo,1.8,1.39,1.11,0.29,4.59,86.0,74.0,8.4,458.0,Next Level Games,0,47.2
Forza Motorsport 4,4,2011.0,2,Microsoft Game Studios,2.08,1.97,0.06,0.46,4.57,91.0,83.0,8.2,617.0,Turn 10,0,49.6
Madden NFL 2005,6,2004.0,0,Electronic Arts,4.18,0.26,0.01,0.08,4.53,91.0,30.0,7.9,78.0,EA Tiburon,0,49.45
Guitar Hero III: Legends of Rock,4,2007.0,5,Activision,3.19,0.91,0.01,0.42,4.53,85.0,69.0,7.9,165.0,Neversoft Entertainment,2,46.45
Madden NFL 07,6,2006.0,0,Electronic Arts,3.63,0.24,0.01,0.61,4.49,84.0,29.0,8.2,39.0,EA Sports,0,46.1
Halo 5: Guardians,17,2015.0,6,Microsoft Game Studios,2.78,1.27,0.03,0.41,4.48,84.0,101.0,6.4,2438.0,343 Industries,2,45.2
Spider-Man: The Movie,6,2002.0,8,Activision,2.71,1.51,0.03,0.23,4.48,76.0,25.0,7.9,41.0,Treyarch,0,41.95
Call of Duty: Infinite Warfare,9,2016.0,6,Activision,1.61,2.0,0.15,0.71,4.46,77.0,82.0,3.4,1129.0,Infinity Ward,1,40.2
God of War,6,2005.0,8,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45,94.0,75.0,8.9,997.0,SCE Santa Monica,1,51.45
Splatoon,18,2015.0,6,Nintendo,1.54,1.18,1.46,0.26,4.43,81.0,88.0,8.5,1184.0,Nintendo,3,44.75
Nintendo Land,18,2012.0,5,Nintendo,2.52,1.11,0.46,0.33,4.42,77.0,61.0,7.9,471.0,Nintendo,3,42.45
Tony Hawk's Pro Skater 3,6,2001.0,0,Activision,2.66,1.29,0.01,0.46,4.41,97.0,34.0,7.5,298.0,Neversoft Entertainment,2,52.25
